Rank,Title,Score,URL,Image_URL
2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.29,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run,https://cdn.myanimelist.net/r/50x70/images/manga/3/179882.jpg?s=dac8109140406ca296cf4946296b5037
3,Vagabond,9.22,https://myanimelist.net/manga/656/Vagabond,https://cdn.myanimelist.net/r/50x70/images/manga/1/259070.jpg?s=44d04f9e5ce80fa5af1bd6dc74241e81
4,One Piece,9.21,https://myanimelist.net/manga/13/One_Piece,https://cdn.myanimelist.net/r/50x70/images/manga/2/253146.jpg?s=e5286481ed2b4c11ab39d1420110dc43
5,Monster,9.14,https://myanimelist.net/manga/1/Monster,https://cdn.myanimelist.net/r/50x70/images/manga/3/258224.jpg?s=f65b4f0f7c01818fedf3987591ab7ce2
6,Slam Dunk,9.07,https://myanimelist.net/manga/51/Slam_Dunk,https://cdn.myanimelist.net/r/50x70/images/manga/2/258749.jpg?s=fad0d2cae56806beefaca50b445fa0dd
7,Fullmetal Alchemist,9.04,https://myanimelist.net/manga/25/Fullmetal_Alchemist,https://cdn.myanimelist.net/r/50x70/images/manga/3/243675.jpg?s=8cb0a643f8a7597514447f2dd0e4ffc2
8,Grand Blue,9.03,https://myanimelist.net/manga/70345/Grand_Blue,https://cdn.myanimelist.net/r/50x70/images/manga/2/166124.jpg?s=3a3e1279dd192ea90a32ff6bdfdbe4dc
9,Vinland Saga,9.02,https://myanimelist.net/manga/642/Vinland_Saga,https://cdn.myanimelist.net/r/50x70/images/manga/2/188925.jpg?s=18b1d30b74bf96b476068901f579e408
10,Oyasumi Punpun,9.02,https://myanimelist.net/manga/4632/Oyasumi_Punpun,https://cdn.myanimelist.net/r/50x70/images/manga/3/266834.jpg?s=0e22ce75cad9b1b0d7c61f16d4d8fbe2
11,Kingdom,8.99,https://myanimelist.net/manga/16765/Kingdom,https://cdn.myanimelist.net/r/50x70/images/manga/2/171872.jpg?s=21a45c6d977c58c19e3075b015c4ee39
12,Houseki no Kuni,8.96,https://myanimelist.net/manga/44489/Houseki_no_Kuni,https://cdn.myanimelist.net/r/50x70/images/manga/1/115443.jpg?s=9795cb8739785d402a60e5aade4ddf3b
13,20th Century Boys,8.95,https://myanimelist.net/manga/3/20th_Century_Boys,https://cdn.myanimelist.net/r/50x70/images/manga/5/260006.jpg?s=b437a7b1e1f15ff9a5759121351e47d5
14,Ashita no Joe,8.94,https://myanimelist.net/manga/1303/Ashita_no_Joe,https://cdn.myanimelist.net/r/50x70/images/manga/1/268827.jpg?s=55e8f76b4a90a8b7d167fa1b9df3d0da
15,Monogatari Series: First Season,8.94,https://myanimelist.net/manga/14893/Monogatari_Series__First_Season,https://cdn.myanimelist.net/r/50x70/images/manga/5/173535.jpg?s=b3742ac411067d352b351824b11b5836
16,Real,8.92,https://myanimelist.net/manga/657/Real,https://cdn.myanimelist.net/r/50x70/images/manga/2/115969.jpg?s=5a4f02899c76aa4e575a7e877b20b4d8
17,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.92,https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,https://cdn.myanimelist.net/r/50x70/images/manga/3/188896.jpg?s=107a5af07f0e6992faa286f94596f231
18,Monogatari Series: Second Season,8.91,https://myanimelist.net/manga/23751/Monogatari_Series__Second_Season,https://cdn.myanimelist.net/r/50x70/images/manga/2/181553.jpg?s=f27f4bdebd5a5d90996112eda295cf1b
19,Mikkakan no Koufuku,8.91,https://myanimelist.net/manga/126479/Mikkakan_no_Koufuku,https://cdn.myanimelist.net/r/50x70/images/manga/3/248674.jpg?s=8df50c1467deb0ebeb25d3bfe1b4ef13
20,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.90,https://myanimelist.net/manga/123992/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e__2-nensei-hen,https://cdn.myanimelist.net/r/50x70/images/manga/3/235363.jpg?s=c149025727da0c0cb037d23e25677c92
21,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.90,https://myanimelist.net/manga/89357/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,https://cdn.myanimelist.net/r/50x70/images/manga/2/177958.jpg?s=53f4b8f50c92e541bdd3e1d662e9b3eb
22,GTO,8.89,https://myanimelist.net/manga/336/GTO,https://cdn.myanimelist.net/r/50x70/images/manga/2/172982.jpg?s=12df0730d20b4e6c9294bf8293feb5ee
